Temperature,Humidity
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
24.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
24.00,33.80
24.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
24.00,33.80
24.00,33.80
25.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
25.00,33.80
25.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
24.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
23.00,33.80
25.00,33.80
25.00,33.80
Temperature,Humidity
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.30
21.00,33.20
21.00,33.20
21.00,33.10
21.00,33.10
21.00,33.00
22.00,32.90
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
22.00,32.80
63.00,23.80
63.00,23.80
63.00,23.80
63.00,23.80
63.00,23.90
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
63.00,24.10
62.00,24.10
62.00,24.10
62.00,24.10
62.00,24.10
62.00,24.10
62.00,24.10
62.00,24.10
61.00,24.10
59.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
59.00,24.50
59.00,24.50
59.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.20
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
59.00,24.10
59.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.20
57.00,24.10
57.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
57.00,24.10
57.00,24.10
57.00,24.10
57.00,24.10
57.00,24.10
Temperature,Humidity
12:44:32,31.00,33.30
12:44:42,31.00,33.30
12:44:52,31.00,33.30
12:45:02,31.00,33.30
12:45:12,31.00,33.30
12:45:22,31.00,33.30
12:45:33,31.00,33.30
12:45:43,31.00,33.30
12:45:53,31.00,33.30
12:46:03,31.00,33.30
12:46:13,31.00,33.30
12:46:23,31.00,33.30
12:46:33,31.00,33.30
12:46:43,31.00,33.30
12:46:53,31.00,33.30
12:47:03,31.00,33.30
12:47:13,31.00,33.30
12:47:23,31.00,33.30
12:47:33,31.00,33.30
12:47:43,31.00,33.30
12:47:53,31.00,33.30
12:48:04,31.00,33.30
12:48:14,31.00,33.30
12:48:24,31.00,33.30
12:48:34,31.00,33.30
12:48:44,31.00,33.30
12:48:54,31.00,33.30
12:49:04,31.00,33.30
12:49:14,31.00,33.30
12:49:24,31.00,33.30
12:49:34,31.00,33.30
12:49:44,31.00,33.30
12:49:54,31.00,33.30
12:50:04,31.00,33.30
12:50:14,31.00,33.30
12:50:25,31.00,33.30
12:50:35,31.00,33.30
12:50:45,31.00,33.30
12:50:55,31.00,33.80
12:51:05,31.00,33.80
12:51:15,31.00,33.80
12:51:25,31.00,33.80
12:51:35,31.00,33.80
12:51:45,31.00,33.80
12:51:55,31.00,33.80
12:52:05,31.00,33.80
12:52:15,31.00,33.30
12:52:25,31.00,33.30
12:52:35,31.00,33.30
12:52:46,31.00,33.60
12:52:56,31.00,33.80
12:53:06,31.00,33.80
12:53:16,31.00,33.80
12:53:26,31.00,33.80
12:53:36,31.00,33.80
